DATE,JOB POSITION,SENIORITY,INDUSTRY SECTOR,AMOUNT,PROMO CODE,TICKET CLASS,REFERRAL CHANNEL,,,,,,,,,,
2/21/2025,CEO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,deputy director,President/Founder/Owner/Chairperson,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,VP of Digital,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,President,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER2_05,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,Founder,President/Founder/Owner/Chairperson,Brand,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,"Co-founder, CFO",President/Founder/Owner/Chairperson,Media,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,Sales manager,Manager/Senior Manager,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,VP of BDM,C-Suite/SVP/VP/Director,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,Partnership Strategy,Independent Contributor/Specialist,Marketing Agency,$5.00,AFF_ALL_TIER2_05,Executive Pass II,Email,,,,,,,,,,
2/21/2025,VP Sales & Marketing,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,Marketing and Communications Coordinator,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,AFF_ALL_TIER2_04,Executive Pass III,LinkedIn,,,,,,,,,,
2/21/2025,Founder & CEO,President/Founder/Owner/Chairperson,Media,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,CMO and Co-Founder,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,"Director, Product Marketing",C-Suite/SVP/VP/Director,Brand,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,Sales Advisor,Manager/Senior Manager,Brand,$5.00,AFF_WORK_TIER2_05,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,VP Sales,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_WORK_TIER2_05,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,Director,C-Suite/SVP/VP/Director,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,Product designer,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,Growth Lead,Manager/Senior Manager,Marketing Agency,$5.00,AFF_ALL_TIER2_04,Executive Pass II,Email,,,,,,,,,,
2/21/2025,Growth Lead,C-Suite/SVP/VP/Director,Marketing Agency,$5.00,AFF_ALL_TIER2_04,Executive Pass II,LinkedIn,,,,,,,,,,
2/21/2025,Student,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,AFF_ALL_TIER2_03,Executive Pass I,LinkedIn,,,,,,,,,,
2/21/2025,manager,Manager/Senior Manager,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/21/2025,brand coordinator,Manager/Senior Manager,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Assistant Mgr.,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Sr Demand Support Manager,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Undergraduate,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Freelance writer,Independent Contributor/Specialist,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Sales Manager,Manager/Senior Manager,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Business,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Marketing Specialist,Independent Contributor/Specialist,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Growth Specialist,Independent Contributor/Specialist,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Manager,Manager/Senior Manager,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Director,President/Founder/Owner/Chairperson,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Director,President/Founder/Owner/Chairperson,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,writer,Independent Contributor/Specialist,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,sales,Manager/Senior Manager,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,sales manager,Independent Contributor/Specialist,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Manager Enterprise Business Solution,Manager/Senior Manager,"Academia, Non-profit, or other",$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Content strategy,Manager/Senior Manager,Retailer,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Manager,C-Suite/SVP/VP/Director,Marketing Agency,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Director,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_WORK_TIER2_10,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Partner + Practice Lead,Independent Contributor/Specialist,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Marketing Entrepreneur,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Account Manager,Manager/Senior Manager,Technology Partner,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Director of Client Success,C-Suite/SVP/VP/Director,Technology Partner,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Marketing Agency,$758.51,DISC_25,Executive Pass II,LinkedIn,,,,,,,,,,
2/20/2025,General Manager,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_ALL_TIER2_04,Executive Pass III,LinkedIn,,,,,,,,,,
2/20/2025,Designer,Independent Contributor/Specialist,Marketing Agency,$5.00,AFF_WORK_TIER2_09,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Marketing specialist,Independent Contributor/Specialist,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Product Manager,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_ALL_TIER2_04,Executive Pass II,LinkedIn,,,,,,,,,,
2/20/2025,Owner,President/Founder/Owner/Chairperson,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Manager,Manager/Senior Manager,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Director,Independent Contributor/Specialist,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Research Manager,Manager/Senior Manager,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Consultant,C-Suite/SVP/VP/Director,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Consultant,Independent Contributor/Specialist,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CFO,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,General Manager,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Officer,Independent Contributor/Specialist,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,General Manager,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Growth lead,Manager/Senior Manager,Marketing Agency,$5.00,AFF_ALL_TIER2_04,Executive Pass II,LinkedIn,,,,,,,,,,
2/20/2025,Growth Director,Manager/Senior Manager,Marketing Agency,$5.00,AFF_ALL_TIER2_04,Executive Pass II,LinkedIn,,,,,,,,,,
2/20/2025,producer,C-Suite/SVP/VP/Director,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,personnel,C-Suite/SVP/VP/Director,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Owner,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Advisor,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Sales Manager,Manager/Senior Manager,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder,Independent Contributor/Specialist,Brand,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Project Manager,Manager/Senior Manager,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,Media,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Event Manager,Independent Contributor/Specialist,Media,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Account Executive,Independent Contributor/Specialist,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Account Manager,Independent Contributor/Specialist,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,"Director, Business Development",C-Suite/SVP/VP/Director,Technology Partner,$84.75,ORGANIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Head of Business Development,Manager/Senior Manager,Technology Partner,$84.75,ORGANIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Designer,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Designer,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Manager,Manager/Senior Manager,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Manager,Manager/Senior Manager,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,President & Creative Director,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Sole Proprietor,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Event Specialist,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,CEO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Retail Practice Lead,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_ALL_TIER2_04,Executive Pass III,LinkedIn,,,,,,,,,,
2/20/2025,Performance Marketing Manager,Manager/Senior Manager,Technology Partner,$84.75,ORGANIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Content Marketing Manager,Manager/Senior Manager,Technology Partner,$84.75,ORGANIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Founder - Chief Strategist,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Chief Marketing Officer,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/20/2025,Marketing Assisstant,Independent Contributor/Specialist,Brand,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,President,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER2_07,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,"Senior Manager, Loyalty Strategy & Planning",Manager/Senior Manager,Retailer,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Co-founder,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Co-founder,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Principal,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_ALL_TIER2_04,Executive Pass II,Email,,,,,,,,,,
2/20/2025,Brand and Social Media Specialist,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/20/2025,Head of Sales,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_ALL_TIER2_04,Executive Pass III,Email,,,,,,,,,,
2/20/2025,Sr Business Analyst,Independent Contributor/Specialist,Brand,$5.00,AFF_ALL_TIER2_05,Executive Pass III,Email,,,,,,,,,,
2/19/2025,Director of Finance,C-Suite/SVP/VP/Director,Retailer,$5.00,AFF_ALL_TIER2_05,Executive Pass I,Email,,,,,,,,,,
2/19/2025,Director of Finance,C-Suite/SVP/VP/Director,Retailer,$5.00,AFF_ALL_TIER2_05,Executive Pass II,LinkedIn,,,,,,,,,,
2/19/2025,Director of Finance,C-Suite/SVP/VP/Director,Retailer,$5.00,AFF_ALL_TIER2_05,Executive Pass III,Email,,,,,,,,,,
2/19/2025,VP & GM,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_ALL_TIER2_04,Executive Pass I,Email,,,,,,,,,,
2/19/2025,Director of Retail Operations & Planning,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_ALL_TIER2_05,Executive Pass II,Email,,,,,,,,,,
2/19/2025,Director of Retail Operations & Planning,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_ALL_TIER2_05,Executive Pass III,LinkedIn,,,,,,,,,,
2/19/2025,Director of Retail Operations & Planning,C-Suite/SVP/VP/Director,Brand,$5.00,AFF_ALL_TIER2_05,Executive Pass I,Email,,,,,,,,,,
2/19/2025,CFO,C-Suite/SVP/VP/Director,"Academia, Non-profit, or other",$5.00,AFF_ALL_TIER1_01,Executive Pass III,Email,,,,,,,,,,
2/19/2025,Founder,President/Founder/Owner/Chairperson,Brand,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/19/2025,Marketing Manager,Manager/Senior Manager,Technology Partner,$5.00,AFF_ALL_TIER2_04,Executive Pass III,Email,,,,,,,,,,
2/19/2025,VP Growth & Client Success,C-Suite/SVP/VP/Director,Consultancy,$859.65,DISC_15,Executive Pass II,Email,,,,,,,,,,
2/19/2025,Sales,C-Suite/SVP/VP/Director,"Academia, Non-profit, or other",$5.00,AFF_ALL_TIER2_04,Executive Pass III,Email,,,,,,,,,,
